Дата операции,Референс проводки,Приход,Расход
3/28/2022 8:00,CRD_61S318',0,4152.95
3/27/2022 20:51,CRD_8RN3RW,0,331.12
3/27/2022 18:42,CRD_7SH0EZ,0,716
3/27/2022 16:34,CRD_7FS04Y,0,950
3/27/2022 14:25,CRD_2320B2,0,332.1
3/27/2022 12:17,CRD_1B00BW,0,700
3/27/2022 10:08,B012703220065546,5000,0
3/27/2022 8:00,CRD_1B00BW',0,700
3/26/2022 19:15,CRD_3EM0WK,0,299
3/26/2022 15:30,CRD_1258BF,0,750
3/26/2022 11:45,CRD_8SK7SK,0,400
3/26/2022 8:00,C072603220038540,0,450
3/25/2022 18:00,CRD_799594,0,2486.57
3/25/2022 13:00,CRD_68W9AB,0,79
3/25/2022 8:00,A022503220000504,0,1000
3/24/2022 20:30,CRD_97Y392,0,159.2
3/24/2022 18:00,CRD_39F8C0,0,10038.94
3/24/2022 15:30,CRD_2YU982,0,179.1
3/24/2022 13:00,B012403220248500,15000,0
3/24/2022 10:30,CRD_39F8C0',0,10038.94
3/24/2022 8:00,A012403220020093,0,2000
3/22/2022 20:00,CRD_97R9E7,0,568
3/22/2022 17:00,CRD_9N01TA,0,370
3/22/2022 14:00,CRD_79R4U4,0,120
3/22/2022 11:00,CRD_6FM919,0,299
3/22/2022 8:00,CRD_1KW4A5,0,170
3/21/2022 19:15,CRD_84Y8EV,0,1801.42
3/21/2022 15:30,B012103220160371,5000,0
3/21/2022 11:45,CRD_84Y8EV',0,1801.42
3/21/2022 8:00,CRD_36660Z,0,1876
3/20/2022 8:00,CRD_39M7XM,0,1884
3/19/2022 8:00,CRD_8XH8RB,0,2410
3/18/2022 20:51,CRD_85W82Z,0,635
3/18/2022 18:42,CRD_75W35Z,0,2367.81
3/18/2022 16:34,CRD_7VT20Z,0,1366
3/18/2022 14:25,CRD_57S8AV,0,299
3/18/2022 12:17,A011803220121391,0,200
3/18/2022 10:08,B011803220165071,10000,0
3/18/2022 8:00,CRD_75W35Z',0,2367.81
3/17/2022 15:30,CRD_7AA1FR,0,1050
3/17/2022 8:00,CRD_1Y763F,0,80
3/16/2022 20:00,CRD_7TU1TA,0,104
3/16/2022 17:00,CRD_7205Z4,0,269.1
3/16/2022 14:00,CRD_610168,0,269.1
3/16/2022 11:00,CRD_6FM037,0,1596.73
3/16/2022 8:00,A011603220160420,0,876
3/15/2022 19:15,CRD_9397RW,0,980
3/15/2022 15:30,CRD_16K4XT,0,120
3/15/2022 11:45,CRD_1F50TW,0,887.6
3/15/2022 8:00,C071503220124514,0,200
3/14/2022 20:30,CRD_8RT9UE,0,50
3/14/2022 18:00,CRD_7ZM35E,0,1750
3/14/2022 15:30,CRD_6WN05E,0,1750
3/14/2022 13:00,CRD_2RA9UE,0,720
3/14/2022 10:30,CRD_1V28NE,0,35000
3/14/2022 8:00,CRD_4K12TK,0,200
3/13/2022 18:00,CRD_8ZE985,0,269.1
3/13/2022 13:00,CRD_5K74H7,0,1690
3/13/2022 8:00,CRD_3HC175,0,724.16
3/12/2022 18:00,CRD_9XR61Z,0,140
3/12/2022 13:00,CRD_8ZE8U0,0,1330
3/12/2022 8:00,CRD_9UC6YY,0,4320
3/11/2022 19:15,CRD_82V92N,0,1446.12
3/11/2022 15:30,CRD_4KC3EC,0,1662
3/11/2022 11:45,CRD_2HT2XM,0,750
3/11/2022 8:00,CRD_4YF9BN,0,224.1
3/10/2022 20:51,CRD_95W498,0,2513
3/10/2022 18:42,CRD_67H0X7,0,1953.68
3/10/2022 16:34,CRD_6HE9S1,0,150
3/10/2022 14:25,CRD_5W6218,0,611
